Name,Ingredients,Method
The Stump,2 oz Bourbon; Root Beer; Fresh lime zest,Pour bourbon over ice. Top with Root Beer. Express lime zest over surface and drop in.
Kentucky Mule,2 oz Bourbon; 4 oz Ginger Beer; ¾ oz lime juice; 2 dashes Aromatic Bitters,Pour bourbon and lime over ice. Top with ginger beer and bitters. Stir once.
The Hollow,2 oz Single Barrel Bourbon; 1 bar spoon Barrel-Aged Honey; 3 dashes Aromatic Bitters; 1 Cherry,Stir honey and bitters. Add ice and bourbon. Stir 20 rotations. Garnish with orange peel and cherry.
Cave Highball,2 oz Small Batch Bourbon; 4 oz Premium Tonic; 1 dash Orange Bitters,"Fill glass with ice. Add bourbon, then tonic, then bitters. Stir gently."
Bardstown Sour,2 oz Bottled in Bond Bourbon; ¾ oz lemon juice; ¾ oz honey syrup; 1 egg white; 2 dashes Aromatic Bitters,Dry shake all but bitters. Add ice and shake hard. Double strain. Dash bitters on foam.
Rye Manhattan,2 oz Rye Whiskey; 1 oz sweet vermouth; 3 dashes Aromatic Bitters; 1 Cherry,Stir ingredients with ice for 30 rotations. Strain into chilled coupe. Add cherry.
Wheated & Cola,2 oz Wheated Bourbon; Cola; Lime wedge,Pour bourbon over ice. Top with cola. Squeeze and drop lime.
The Reserve Sipper,2 oz Reserve Bourbon; 1 drop Still Water (optional),Pour neat. Add water drop if desired. Serve in rocks glass.
Smoky Paloma,2 oz Rye Whiskey; 1 oz grapefruit juice; ½ oz lime juice; Lemon soda; Smoked Salt rim,Rim glass with salt. Shake rye and juices. Strain into glass over ice. Top with lemon soda.
Rickhouse Julep,2½ oz Small Batch Bourbon; 1 bar spoon honey; 8 mint leaves; Crushed ice,Muddle mint and honey. Fill with crushed ice. Add bourbon. Stir until frosted. Garnish with mint.
Bourbon Ginger Smash,2 oz Original; 3 ginger slices; ¾ oz lemon juice; ½ oz simple syrup; Ginger Ale,"Muddle ginger. Add bourbon, lemon, and syrup. Shake hard. Double strain over ice. Top with ginger ale."
Rye Sazerac,2 oz Rye Whiskey; 1 sugar cube; 3 dashes Aromatic Bitters; Absinthe rinse; Lemon peel,"Rinse glass with absinthe. Muddle sugar, bitters, and water. Add rye and ice. Stir and strain neat. Express lemon peel and discard."
Wheated Cherry Sour,2 oz Wheated; 1 oz cherry juice; ¾ oz lemon juice; 1 egg white; 2 dashes Orange Bitters,Dry shake all but bitters. Add ice and shake hard. Double strain. Add bitters and cherry.
BiB Hot Toddy,2 oz Bottled in Bond Bourbon; 1 tbsp honey; ½ oz lemon juice; 4 oz hot water; Cinnamon stick,"Combine honey, lemon, and bourbon in mug. Top with hot water. Stir with cinnamon stick."
Blood Orange Boulevardier,1½ oz Single Barrel Bourbon; 1 oz Campari; 1 oz sweet vermouth; ½ oz Blood Orange,"Stir bourbon, Campari, and vermouth. Strain over large ice cube. Top with blood orange soda."
Perthshire Negroni,1 oz Cask Rested Gin; 1 oz Campari; 1 oz sweet vermouth; 1 dash Orange Bitters,Stir all ingredients with ice. Strain into rocks glass over large cube.
Highland & Tonic,2 oz Highland Gin; 4 oz Elderflower Tonic,Build in glass over ice. Do not stir.
Highland Gimlet,2 oz Highland Gin; ¾ oz lime juice; ½ oz simple syrup,Shake hard with ice. Double strain into chilled coupe.
Aromatic Highball,2 oz Highland Gin; 4 oz Aromatic Tonic; 1 dash Aromatic Bitters,Pour gin over ice. Top with tonic and bitters. Stir once.
Heather Collins,2 oz Highland Gin; 1 oz lemon juice; ½ oz simple syrup; Club Soda,"Shake gin, lemon, and syrup. Strain over ice. Top with club soda."
Cask Rested Old Fashioned,2 oz Cask Rested Gin; 1 bar spoon honey; 2 dashes Orange Bitters; 1 dash Aromatic Bitters,Stir honey and bitters. Add large cube and gin. Stir 20 rotations. Express orange peel.
Bitter Lemon & Gin,2 oz Highland Gin; 4 oz Bitter Lemon,Build in glass over ice. Stir once.
